"NOMBRE_DPT","crp"
"AMAZONAS",31.5178571428571
"ANTIOQUIA",17942.9993867335
"ARAUCA",15390.5454545464
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",0
"ATLANTICO",0
"BOGOTÁ",0
"BOLÍVAR",7188.16666666303
"BOYACÁ",4611.30606060606
"CALDAS",3325.56915584597
"CAQUETÁ",2900.89595959596
"CASANARE",886.77297979798
"CAUCA",1770.95757575758
"CESAR",6997.83333333242
"CHOCÓ",4664.78484848485
"CÓRDOBA",2337.93560606061
"CUNDINAMARCA",5018.33189033462
"GUAINIA",190.545454545455
"GUAVIARE",825.727272727273
"HUILA",8712.45454545
"LA GUAJIRA",533.425324675325
"MAGDALENA",2258.51515151424
"META",5719.93181818182
"NARIÑO",18960.8126623147
"NN",0
"NORTE DE SANTANDER",15360.8588744471
"PUTUMAYO",1377.26590909091
"QUINDIO",195.563636363636
"RISARALDA",1402.40909090909
"SANTANDER",47353.4040403486
"SUCRE",348.865079365079
"TOLIMA",10848.0789321826
"VALLE DEL CAUCA",1221.49989177489
"VAUPES",29.3333333333333
"VICHADA",174.054545454545
